,,,,,,,,
一、评价指标,,,,,,,,
C1 - 数据可得性与质量：数据是否易于下载、清洗和处理？数据的质量和完整性如何？,,,,,,,,
C2 - 模型实现的复杂度： 模型是否在⼩组的能⼒范围内？求解过程是否清晰？,,,,,,,,
C3 - 成果的“惊艳度”与创新性： 选题是否新颖、吸引⼈？是否能给⽼师和同学留下深刻印象？,,,,,,,,
C4 - 与课程及专业的贴合度： 是否紧密贴合《运筹学》课程核⼼内容（如规划、排队、决策）？是否与MEM专业⽅向相关？,,,,,,,,
C5 - 时间与资源的可⾏性： 能否在1-2周内完成数据收集、建模、求解和报告撰写？,,,,,,,,
二、准则权重（AHP法）,,,,,,,,
"1.小组讨论，使⽤1-9标度法进⾏两两⽐较。
2.制作⼀个判断矩阵，反复讨论并回答类似问题：
“数据可得性和模型复杂度相⽐，哪个对我们成功更重要？重要多少？”
“成果惊艳度和时间可⾏性相⽐，哪个更关键？”
3.计算得到每个准则的权重向量 W = [w1, w2, w3, w4, w5]。",,,,,,,,
"w1
",数据可得性,=,0.35,,,,,
"w2
",模型复杂度,=,0.2,,,,,
"w3
",成果惊艳度,=,0.25,,,,,
"w4
",课程贴合度,=,0.1,,,,,
"w5
",时间可⾏性,=,0.1,,,,,
三、备选课题收集及评分（5分最高，1分最低）,,,,,,,,
序号,课题内容,C1数据可得性,C2模型复杂度,C3成果惊艳度,C4课程贴合度,C5时间可⾏性,,说明
P1,北大校园内共享单车调度与重新平衡策略优化,2,2,4,5,2,,基于历史骑行数据和需求预测，构建动态调度模型，平衡各区域车辆供需，减少用户等待时间。
P2,地铁线路时刻表优化,4,1,5,5,3,,基于乘客流量时空分布，优化发车间隔和停站时间，最小化乘客等待成本和列车拥挤度。
P3,多模式交通换乘优化,3,2,3,5,2,,整合公交、地铁、共享单车数据，构建最短时间/最低成本的换乘路径模型，考虑实时路况。
P4,"电动汽车充电站选址与容量规划
",4,3,4,5,3,,结合充电需求预测、电网负荷和土地成本，建立混合整数规划模型，确定充电站位置和充电桩数量。
P5,基于重心法的北大校内快递中心选址优化,5,4,4,5,4,,针对多商户、多骑手的复杂场景，设计考虑时间窗、订单优先级和交通状况的动态路径规划算法。
P6,无人机物流网络设计,4,3,5,4,1,,研究无人机基站选址、飞行路径规划和电池更换策略，平衡覆盖范围、成本和时效性。
P7,冷链物流温度控制优化,4,4,2,4,3,,建立考虑货物变质率、能耗和运输时间的动态温控模型，优化冷藏车路径和温度设置。
P8,跨境电商仓储布局优化,1,4,4,5,1,,基于全球销售数据和关税政策，设计多级仓储网络（如海外仓、保税仓），最小化物流成本和交付时间。
P9,逆向物流回收网络设计,3,4,3,4,3,,针对废旧电子产品、包装材料等，构建回收点选址、运输路径和再加工的集成优化模型。
P10,医院挂号与分诊系统优化,3,3,3,5,2,,"基于患者症状、科室忙闲程度和医生专长，设计动态分诊算法，减少患者等待时间和医疗资源浪费。
"
P11,超市货架布局与补货策略,2,3,2,4,3,,结合商品关联性、销售数据和顾客动线，优化货架空间分配和补货频率，最大化销售额和顾客满意度。
P12,社区垃圾分类回收路径优化,3,4,3,5,3,,针对可回收物、厨余垃圾等不同类别，设计清运车辆路径和频次，平衡成本、环保要求和居民便利性。
P13,共享厨房设备调度,4,3,3,5,2,,"在共享厨房场景中，优化烤箱、炉灶等设备的预约分配，避免冲突并提高设备利用率。
"
P14,信用卡额度动态分配,5,4,3,3,5,,基于用户消费行为、信用评分和风险模型，设计实时额度调整策略，平衡收益与坏账率。
P15,电商促销活动组合优化,5,4,3,4,4,,针对满减、折扣、赠品等促销方式，建立多目标模型（销售额、利润、客户留存），确定最优活动组合。
P16,个人理财投资组合优化,5,4,2,3,5,,结合用户风险偏好、市场趋势和流动性需求，构建动态资产配置模型（如股票、基金、债券比例）。
P17,家庭能源管理优化,4,3,2,4,4,,"基于电价波动、太阳能发电预测和家电使用习惯，设计家庭储能系统充放电策略，降低用电成本。
"
P18,城市空气质量干预策略,3,2,5,4,2,,"结合交通流量、工业排放和气象数据，建立污染扩散模型，优化限行、工厂停产等干预措施的时机和范围。
"
P19,基于动态规划的北大同学学分选修与课程安排优化方案,4,4,3,4,3,,针对学生能力、学习进度和教师资源，设计个性化课程推荐算法和班级排课方案，提高完成率和满意度。
P20,基于最短路算法的北大校园最优游览路径规划,4,4,3,4,3,,
P21,基于整数规划的教学楼自习室座位资源优化分配研究,4,4,2,4,3,,
P22,基于0-1规划的北大社团活动时间冲突与选择优化,3,3,2,5,3,,
P23,基于网络流的北大校内电动摆渡车路线规划,5,3,3,5,4,,
P24,基于关键路径法（CPM）的学生期末备考计划制定,4,4,3,5,4,,
P25,北大文创商店产品定价与库存管理的收益优化模型,3,5,4,4,3,,
P26,基于决策分析的北大毕业生出国留学择校辅助模型,2,4,4,2,2,,
P27,基于Dijkstra算法的北大地图,4,4,4,5,4,,往届课题
P28,运筹重走西游路,4,3,5,3,3,,往届课题
P29,运筹学优化在旅游公司的优化,3,5,4,3,3,,往届课题
P30,基于AHP + TOPSIS混合模型的运筹学作业选题决策优化,5,4,4,5,5,,
,,,,,,,,
四、使⽤TOPSIS法进⾏最终排序,,,,,,,,
1,标准化决策矩阵：,消除量纲影响,,,,,,
2,构建加权标准化矩阵：,将AHP得到的权重 W 乘⼊矩阵。,,,,,,
3,确定理想解与负理想解：,"理想解 A+ = [0.35, 0.2, 0.25, 0.1, 0.1] （标准化加权后）",,,,,,
,,"负理想解 A- = [0, 0, 0, 0, 0] （标准化加权后）",,,,,,
4,计算距离：,计算每个⽅案与A+和A-的欧⽒距离。,,,,,,
5,计算相对贴近度：,( C_i = D_i^- / (D_i^+ + D_i^-) ),,,,,,
6,排序：,按 ( C_i ) 值从⼤到⼩排序，值越⼤，综合表现越好。,,,,,,
,,,,,,,,
五、结果排序：详计算过程页,,,,,,,,
,,,,,,,,
六、作业展示需求与拓展,,,,,,,,
1,建议以小程序内容进行拓展，最终执行提供二维码于PPT上进行实际测试。,,,,,,程序相关,
2,应用端对于可使用类似模型的优化类问题均可使用，不仅限于本作业。,,,,,,,
3,建议应用第一项内容为用户输入所面临的问题并列出影响选择的综合考虑因素个数，备选的方案个数。并对后续标度选择及评分输入进行说明。,,,,,,,
4,根据因素个数，结合AHP法。引导用户在标度上进行选择进行相关权重分配。,,,,,,,
5,根据用户输入的方案个数，逐个引导用户输入相关项评分,,,,,,,
6,计算完成显示各方案排序。,,,,,,,
7,需展示计算过程,,,,,,PPT相关,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
