,,,C1数据可得性,C2模型复杂度,C3成果惊艳度,C4课程贴合度,C5时间可⾏性
权重,,,0.35,0.2,0.25,0.1,0.1
,,,,,,,
原始评分,,,,,,,
,P1,北大校园内共享单车调度与重新平衡策略优化,2,2,4,5,2
,P2,地铁线路时刻表优化,4,1,5,5,3
,P3,多模式交通换乘优化,3,2,3,5,2
,P4,"电动汽车充电站选址与容量规划
",4,3,4,5,3
,P5,基于重心法的北大校内快递中心选址优化,5,4,4,5,4
,P6,无人机物流网络设计,4,3,5,4,1
,P7,冷链物流温度控制优化,4,4,2,4,3
,P8,跨境电商仓储布局优化,1,4,4,5,1
,P9,逆向物流回收网络设计,3,4,3,4,3
,P10,医院挂号与分诊系统优化,3,3,3,5,2
,P11,超市货架布局与补货策略,2,3,2,4,3
,P12,社区垃圾分类回收路径优化,3,4,3,5,3
,P13,共享厨房设备调度,4,3,3,5,2
,P14,信用卡额度动态分配,5,4,3,3,5
,P15,电商促销活动组合优化,5,4,3,4,4
,P16,个人理财投资组合优化,5,4,2,3,5
,P17,家庭能源管理优化,4,3,2,4,4
,P18,城市空气质量干预策略,3,2,5,4,2
,P19,基于动态规划的北大同学学分选修与课程安排优化方案,4,4,3,4,3
,P20,基于最短路算法的北大校园最优游览路径规划,4,4,3,4,3
,P21,基于整数规划的教学楼自习室座位资源优化分配研究,4,4,2,4,3
,P22,基于0-1规划的北大社团活动时间冲突与选择优化,3,3,2,5,3
,P23,基于网络流的北大校内电动摆渡车路线规划,5,3,3,5,4
,P24,基于关键路径法（CPM）的学生期末备考计划制定,4,4,3,5,4
,P25,北大文创商店产品定价与库存管理的收益优化模型,3,5,4,4,3
,P26,基于决策分析的北大毕业生出国留学择校辅助模型,2,4,4,2,2
,P27,基于Dijkstra算法的北大地图,4,4,4,5,4
,P28,运筹重走西游路,4,3,5,3,3
,P29,运筹学优化在旅游公司的优化,3,5,4,3,3
,P30,基于AHP + TOPSIS混合模型的运筹学作业选题决策优化,5,4,4,5,5
,,,,,,,
min-max标准化,P1,北大校园内共享单车调度与重新平衡策略优化,0.250,0.250,0.667,1.000,0.250
,P2,地铁线路时刻表优化,0.750,0.000,1.000,1.000,0.500
,P3,多模式交通换乘优化,0.500,0.250,0.333,1.000,0.250
,P4,"电动汽车充电站选址与容量规划
",0.750,0.500,0.667,1.000,0.500
,P5,基于重心法的北大校内快递中心选址优化,1.000,0.750,0.667,1.000,0.750
,P6,无人机物流网络设计,0.750,0.500,1.000,0.667,0.000
,P7,冷链物流温度控制优化,0.750,0.750,0.000,0.667,0.500
,P8,跨境电商仓储布局优化,0.000,0.750,0.667,1.000,0.000
,P9,逆向物流回收网络设计,0.500,0.750,0.333,0.667,0.500
,P10,医院挂号与分诊系统优化,0.500,0.500,0.333,1.000,0.250
,P11,超市货架布局与补货策略,0.250,0.500,0.000,0.667,0.500
,P12,社区垃圾分类回收路径优化,0.500,0.750,0.333,1.000,0.500
,P13,共享厨房设备调度,0.750,0.500,0.333,1.000,0.250
,P14,信用卡额度动态分配,1.000,0.750,0.333,0.333,1.000
,P15,电商促销活动组合优化,1.000,0.750,0.333,0.667,0.750
,P16,个人理财投资组合优化,1.000,0.750,0.000,0.333,1.000
,P17,家庭能源管理优化,0.750,0.500,0.000,0.667,0.750
,P18,城市空气质量干预策略,0.500,0.250,1.000,0.667,0.250
,P19,基于动态规划的北大同学学分选修与课程安排优化方案,0.750,0.750,0.333,0.667,0.500
,P20,基于最短路算法的北大校园最优游览路径规划,0.750,0.750,0.333,0.667,0.500
,P21,基于整数规划的教学楼自习室座位资源优化分配研究,0.750,0.750,0.000,0.667,0.500
,P22,基于0-1规划的北大社团活动时间冲突与选择优化,0.500,0.500,0.000,1.000,0.500
,P23,基于网络流的北大校内电动摆渡车路线规划,1.000,0.500,0.333,1.000,0.750
,P24,基于关键路径法（CPM）的学生期末备考计划制定,0.750,0.750,0.333,1.000,0.750
,P25,北大文创商店产品定价与库存管理的收益优化模型,0.500,1.000,0.667,0.667,0.500
,P26,基于决策分析的北大毕业生出国留学择校辅助模型,0.250,0.750,0.667,0.000,0.250
,P27,基于Dijkstra算法的北大地图,0.750,0.750,0.667,1.000,0.750
,P28,运筹重走西游路,0.750,0.500,1.000,0.333,0.500
,P29,运筹学优化在旅游公司的优化,0.500,1.000,0.667,0.333,0.500
,P30,基于AHP + TOPSIS混合模型的运筹学作业选题决策优化,1.000,0.750,0.667,1.000,1.000
,,,,,,,
加权重后,P1,北大校园内共享单车调度与重新平衡策略优化,0.088,0.050,0.167,0.100,0.025
,P2,地铁线路时刻表优化,0.263,0.000,0.250,0.100,0.050
,P3,多模式交通换乘优化,0.175,0.050,0.083,0.100,0.025
,P4,"电动汽车充电站选址与容量规划
",0.263,0.100,0.167,0.100,0.050
,P5,基于重心法的北大校内快递中心选址优化,0.350,0.150,0.167,0.100,0.075
,P6,无人机物流网络设计,0.263,0.100,0.250,0.067,0.000
,P7,冷链物流温度控制优化,0.263,0.150,0.000,0.067,0.050
,P8,跨境电商仓储布局优化,0.000,0.150,0.167,0.100,0.000
,P9,逆向物流回收网络设计,0.175,0.150,0.083,0.067,0.050
,P10,医院挂号与分诊系统优化,0.175,0.100,0.083,0.100,0.025
,P11,超市货架布局与补货策略,0.088,0.100,0.000,0.067,0.050
,P12,社区垃圾分类回收路径优化,0.175,0.150,0.083,0.100,0.050
,P13,共享厨房设备调度,0.263,0.100,0.083,0.100,0.025
,P14,信用卡额度动态分配,0.350,0.150,0.083,0.033,0.100
,P15,电商促销活动组合优化,0.350,0.150,0.083,0.067,0.075
,P16,个人理财投资组合优化,0.350,0.150,0.000,0.033,0.100
,P17,家庭能源管理优化,0.263,0.100,0.000,0.067,0.075
,P18,城市空气质量干预策略,0.175,0.050,0.250,0.067,0.025
,P19,基于动态规划的北大同学学分选修与课程安排优化方案,0.263,0.150,0.083,0.067,0.050
,P20,基于最短路算法的北大校园最优游览路径规划,0.263,0.150,0.083,0.067,0.050
,P21,基于整数规划的教学楼自习室座位资源优化分配研究,0.263,0.150,0.000,0.067,0.050
,P22,基于0-1规划的北大社团活动时间冲突与选择优化,0.175,0.100,0.000,0.100,0.050
,P23,基于网络流的北大校内电动摆渡车路线规划,0.350,0.100,0.083,0.100,0.075
,P24,基于关键路径法（CPM）的学生期末备考计划制定,0.263,0.150,0.083,0.100,0.075
,P25,北大文创商店产品定价与库存管理的收益优化模型,0.175,0.200,0.167,0.067,0.050
,P26,基于决策分析的北大毕业生出国留学择校辅助模型,0.088,0.150,0.167,0.000,0.025
,P27,基于Dijkstra算法的北大地图,0.263,0.150,0.167,0.100,0.075
,P28,运筹重走西游路,0.263,0.100,0.250,0.033,0.050
